start	end	text
0	6560	going to be honest enough to tell you that I'm worried about America. I'm worried about
6560	19520	our nation because it's sick with racism still. Just think about the fact that we live
19520	27360	in a nation which was founded on the principle that all men are created equal. And yet men
27360	35040	are still arguing over whether the color of a man's skin determines the content of his character.
35040	44240	And I believe that the Lord told me to say to the United States of America that it's sick with
44240	54720	militarism and it's sick with excessive materialism. Have you ever thought about it? They are
54720	64720	between 38 and 50 million people in the United States of America who are poverty-stricken,
67120	75200	making income less than the poverty level. And yet this is the richest nation in the history of
75200	81440	the world. Our national growth product this year will go beyond 800 billion dollars.
83200	92480	And yet there between 38 and 50 million people who are poverty-stricken, and I'm wrong. A lot of
92480	101120	people are afraid to say it. But I don't mind saying that you see somebody said to me last night,
101120	106960	don't you think Dr. King, you are going to have to start speaking more in terms of the administration's
106960	113600	policy because since you started talking against a Warren Vietnam, it's hurt the budget of your
113600	118880	organization and people who once respected you don't respect you anymore. And I had to look over
119600	129760	and say, so I'm sorry, but you don't know me. I'm not a consensus leader. I don't determine what
129760	134880	is right and wrong by looking at the budget of my organization. And I don't determine what is
134880	142240	right and wrong by taking a gallop hole of the majority opinion. And so because there's something wrong,
143920	153760	our struggle must continue. And what we must see is that our nation's summers of riots
153760	159040	are caused by our nation's winters of delay.
