start	end	text
0	2240	Have you ever stopped and wondered why our society
2240	5200	kind of has a default setting for who's considered normal?
5200	7480	It's a huge question, and it gets right to the heart
7480	9920	of how our differences have been shaped by history
9920	11080	and by power.
11080	12960	So today, we're gonna dig into the tools
12960	15540	that built this system, and maybe explore what it would take
15540	17600	to build something totally new.
17600	20160	And we're gonna start with this really powerful idea
20160	22440	from the writer and activist Audrey Lord.
22440	24800	What she's telling us here is that our identities,
24800	27460	well, they aren't simple, they're not singular,
27460	31060	they're complex, they're messy, they're all woven together.
31060	32780	And that's a really crucial starting point
32780	34900	for the journey we're about to take.
34900	37420	Okay, so to really get how we got here,
37420	41000	we have to start with a core concept from Lord herself.
41000	43060	It's an idea that quietly shapes
43060	44860	almost every part of our lives,
44860	47180	whether we even realize it or not.
47180	48940	She called it the mythical norm.
48940	52020	And that word, mythical, is so important.
52020	55540	This default person, you know, white, male, straight,
55580	59580	Christian, well off, doesn't really exist as the majority,
59580	62420	but it holds this incredible amount of power.
62420	64320	It becomes the invisible measuring stick
64320	66460	that everyone else is compared to.
66460	69540	And if you fall outside that super narrow definition,
69540	73340	you're automatically seen as different, as other.
73340	75460	So what happens when we meet people
75460	77020	who don't fit that norm?
77020	79780	Well, Lordy argued that we've basically been programmed
79780	81940	with a really limited set of options.
81940	83540	Instead of having a rich toolbox
83540	85020	for how to connect with each other,
85020	88340	we're left with just a few, well, blunt instruments.
88340	91500	Our default settings are pretty stark when you lay them out.
91500	93860	We either pretend the difference doesn't exist,
93860	96700	or we try to copy the dominant form to fit in.
96700	98260	Or in the worst cases,
98260	100980	we try to get rid of whatever we see as being beneath us.
100980	103020	These are the deep, deep patterns
103020	105860	that Lord is asking us to take a hard look at.
105860	110020	And this, right here, this is the core of her message.
110020	112660	The problem isn't that we're all different from one another.
112660	114180	Of course we are.
114180	117420	The real problem is our failure to see those differences,
117420	120820	to understand them, and ultimately to value them.
120820	124380	It's the refusal to engage that creates all the division.
124380	127460	So how in the world does a mythical norm get built
127460	129620	and then force on a global scale?
129620	131100	I mean, an idea this big
131100	133300	doesn't just pop out of thin air, right?
133300	134940	A quick look into colonial history
134940	137660	shows the very real and often brutal ways
137660	139260	these ideas play out.
139260	140820	We're going to look at this through the lens
140820	143420	of something called political homophobia.
143460	145820	Now, this isn't just about personal prejudice.
145820	149340	This is about the deliberate strategic use of fear and hatred
149340	151340	to achieve political goals.
151340	153340	It's a way to build a national identity,
153340	155100	shut down anyone who disagrees,
155100	157780	and keep power in the hands of a small group,
157780	160060	a chillingly effective tool.
160060	162660	Okay, so in many post-colonial countries,
162660	164180	like Nigeria, for example,
164180	166300	you'll hear a common political argument
166300	168660	that laws criminalizing homosexuality
168660	171900	are just about defending traditional authentic values.
171940	173860	But when historians dig into it,
173860	175940	they find a completely different story.
175940	177860	These laws aren't indigenous at all.
177860	180460	They are a direct hangover from the British Empire.
181300	183220	Let's just trace the journey here.
183220	185740	It starts way back in 16th century England
185740	187940	as a political weapon for a king.
187940	190900	Then centuries later, a version of that law,
190900	192580	a version that was actually rejected
192580	193980	for use in Britain itself,
193980	196180	gets written up for a colony in Australia.
196180	199060	And from there, it's imposed on Nigeria.
199060	201580	This was never a reflection of local values.
201580	204500	It was a pure export of colonial power.
204500	205900	And this brings us right back
205900	208780	to one of Audre Lorde's most famous lines.
208780	210140	The colonial legal system,
210140	212540	with all its imposed rules and values,
212540	214420	became the master's tools.
214420	216260	They were designed for one purpose,
216260	218780	to build and maintain the master's house,
218780	220740	the structure of the empire.
220740	223140	And what was the justification for all this?
223140	225100	Well, this quote from a colonial officer
225100	226580	lays it out pretty clearly.
226580	229180	It's this deeply paternalistic worldview, right?
229180	231660	Seeing the people they colonized, not as equals,
231660	234300	but as children who needed parental control.
234300	235740	This was the elitist mindset
235740	236980	that was used to rationalize
236980	239820	the whole project of colonial domination.
239820	242500	So we've seen how these massive power structures
242500	243940	were built throughout history.
243940	245620	But what does it actually feel like
245620	247340	to live inside them today?
247340	249300	Especially when you exist at the crossroads
249300	251220	of more than one identity.
251220	252900	For that, we can turn to the work
252900	255700	of the brilliant legal scholar, Kimberly Crenshaw.
255700	258060	She gave us the term intersectionality.
258060	259620	And it's basically a lens,
259620	262540	a way of seeing the different forms of discrimination,
262540	264380	like racism and sexism,
264380	266180	don't just exist next to each other.
266180	268300	They overlap, they interact,
268300	269700	they pile on top of each other,
269700	273020	creating totally unique experiences of bias.
273020	274580	This quote from Roberto Valdez
274580	278340	just makes that whole academic idea so personal and real.
278340	281100	It's this feeling of pressure to chop up your own identity,
281100	282620	to decide which part of yourself
282620	284100	you're allowed to bring into a room,
284100	285780	because you know the world isn't set up
285780	287820	to see all of you at once.
287820	290660	And this court case shows the real devastating harm
290660	292460	of ignoring intersectionality.
292460	293980	You have five black women
293980	296380	who argued they were fired because of discrimination.
296380	298020	But the court told them, sorry,
298020	300540	you can't be discriminated against as black women.
300540	302160	They said, you have to pick one.
302160	304500	Was it racism or was it sexism?
304500	307500	The legal system literally couldn't see their whole identity
307500	309700	and because of that, they lost their case.
309700	311220	This is the exact problem
311220	313580	Crenshaw and Lorde were talking about.
313580	316620	Okay, so if the old ways of ignoring, copying
316620	319540	or destroying difference are failing us so badly,
319540	320660	what's the alternative?
320660	322140	Where do we go from here?
322140	324540	Let's circle back one last time to Audrey Lorde
324540	326660	for her vision of the future.
326660	330180	Lorde's answer was so clear, it was almost revolutionary.
330180	332860	She said our very survival depends on our ability
332860	335140	to connect across our differences
335140	337700	and to see each other as equals while doing it.
337700	340740	Not in spite of our differences, but with them.
340740	343260	And she even laid out a kind of path forward.
343260	345500	It starts with us, with doing the hard work
345540	348700	of unlearning the toxic stuff society has taught us.
348700	351740	Then it moves outward to really see the differences
351740	354380	among our equals and then to use those differences
354380	355940	not as a wall between us,
355940	358300	but as a source of creativity and strength
358300	362820	and ultimately to completely redefine what power even is.
362820	365140	And all of this leads to her most famous,
365140	366860	most enduring warning.
366860	369220	You cannot fix a system of oppression
369220	370940	using the exact same logic
370940	373100	that created it in the first place.
373100	375140	Trying to fit into the mythical norm
375180	377780	or using tools that refuse to see your whole self
377780	380020	is never going to set you free.
380020	382180	You can't dismantle the master's house
382180	384260	with the master's tools.
384260	386700	So in the end, Lorde leaves us with a challenge,
386700	388140	not a simple answer.
388140	390860	If the old tools of division and hierarchy
390860	393180	and erasure are never gonna work,
393180	396980	then the real question, the one for all of us is this,
396980	399460	what new tools are we gonna build together?
