start	end	text
0	2140	You know what else is incredibly infuriating?
2140	4700	Well, there's the global pharmaceuticals industry
4700	7820	that incentivizes disease because it's more profitable
7820	10580	to treat symptoms than address actual causes.
10580	12320	There's the global farming industry
12320	14140	that cause a lot of the causes
14140	16660	because it's more cost-effective to feed us things
16660	19260	that hurt us than the things that actually do as good.
19260	21460	And they also cause a lot of the starvation
21460	24100	because apparently artificial food scarcity
24100	25580	is really good for business.
25580	27700	There's the global industrial war machine
27780	30860	that incentivizes conflict and destabilization
30860	33220	because they figured out that getting politicians
33220	35460	to keep funneling taxpayer money
35460	38580	into their pockets under the guise of defense
38580	40460	is basically an infinite money glitch.
40460	42340	Then of course there's the other industries
42340	45020	that take advantage of that destabilization
45020	47060	to get their hands on cheap resources
47060	49300	that they use to manufacture their products
49300	52820	that they then get to market to us as environmentally friendly.
52820	56620	This does not look like a very friendly environment to me.
56620	59340	Then of course there's the global political establishment
59340	61580	that take money from all of these industries
61580	64060	and try and convince us that our only hope
64060	66060	to try and fix any of these problems
66060	67740	is to keep voting for them
67740	69900	and expecting them to do something about it
69900	72820	despite that obviously not being in their self-interest.
72820	76180	This of course all propped up by a global economic system
76180	78740	that incentivizes wasting resources
78740	81300	through over-production and over-consumption
81300	84100	in order to make money inflating itself
84100	87140	by merely existing by wasting the resources
87140	90580	that that money derides its value from in the first place.
90580	94460	We'll seemingly overseen by some shadowy faceless cabal
94460	96460	of banks and investment firms
96460	98420	who all own a percentage of everything
98420	100700	and all own a percentage of each other
100700	103460	in some giant circular economic cluster
103460	106740	fuck so it's impossible to trace the money back to anyone
106740	109020	and figure out who's actually in charge here.
109020	111380	So a lot, quite a lot.
